 Reinaldo Arenas,rarenas,Cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
rarenas,Before Night Falls,2001,English,InsightOut Books,"New York, NY",United States,new_york_ny_united_states,Autobiography/Memoir,y,317,
rarenas,Singing from the Well,2002,English,Tusquets Editores S.A.,Tokyo,Japan,tokyo_japan,Fiction (Novel),y,195,
rarenas,Otra Vez el Mar,2013,Spanish,Tusquets Editores S.A.,Barcelona,Spain,,Fiction (Novel),n,480,
rarenas,Farewell to the Sea: A Novel of Cuba,1986,English,Viking Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,413,
rarenas,Farewell to the Sea: A Novel of Cuba,1985,English,Viking Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,413,
rarenas,The Doorman,1987,English,Grove Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,191,
rarenas,Hallucinations: Being an Account of the Life and Adventures of Fray Servando,1987,English,Avon,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,246,
rarenas,Graveyard of the Angels,1987,English,Avon,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,121,
rarenas,The Assault,1994,English,Viking Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,145,
rarenas,El Portero,1990,English,Ediciones Universal,"Miami, FL",United States,miami_fl_united¬†states,Fiction (Novel),n,158,
rarenas,Before Night Falls,1994,English,Penguin Books,Westminster,England,westminster_england,Autobiography/Memoir,y,317,
rarenas,The Doorman,1994,English,Grove Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,204,
rarenas,The Doorman,1991,English,Grove Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,191,
rarenas,Old Rosa,1994,English,Grove Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,106,
rarenas,The Color of Summer: or The New Garden of Earthly Delights,2000,English,Viking Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,417,
rarenas,El Asalto,1990,English,Ediciones Universal,"Miami, FL",United States,miami_fl_united¬†states,Fiction (Novel),n,141,
rarenas,Mona and Other Tales,2001,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,y,208,
rarenas,Mona and Other Tales,2007,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,208,
rarenas,Graveyard of the Angels,1987,English,Avon Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,121,
