Lloyd King,lking,united_states,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lking,"La mujer en la literatura caribeña : Sexta Conferencia de Hispanistas, 6th-8th abril 1983, University of the West Indies, St. Augustine, Trinidad",1983,Spanish ,"University of the West Indies, Dept. of French & Spanish Literature",St. Augustine,Trinidad & Tobago,st._augustine_trinidad_&¬†tobago,NA,y,196,
lking,Towards A Caribbean Literary Tradition,1990,English,University of the West Indies,St. Augustine,Trinidad & Tobago,st._augustine_trinidad_&¬†tobago,Biography,n,92,
lking,The autobiography of a Cuban slave,1996,English,"University of the West Indies Press
",St. Augustine,Trinidad & Tobago,st._augustine_trinidad_&¬†tobago,Biography,n,66,Juan Francisco Manzano
lking,Reflections at New Credit,2006,English,"University of the West Indies Press
",St. Augustine,Trinidad & Tobago,st._augustine_trinidad_&¬†tobago,,n,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,, ,,,,,,,
