Nicola Yoon,nyoon,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
nyoon,Instructions For Dancing,2021,English,Penguin Books,London,England,london_england,Fiction (Novel),n,,
nyoon,Nap Is Csillag,2016,English,Gabo könyvkiadó,Budapest,Hungary,budapest_hungary,Fiction (Novel),n,,
nyoon,"Minden, Miinden",2015,English,Gabo könyvkiadó,Budapest,Hungary,budapest_hungary,Fiction (Novel),n,,
nyoon,Instructions For Dancing,2021,English,Delacorte Press,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),n,,
nyoon,"Everything, Everything",2015,English,Ember Publishing House,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),n,,
nyoon,"Ni Shi Wo Yi Qie De Yi Qie: Yu Ni Xiang Yu,Jiu Shi Wo Zui Zhi De De Mao Xian",2017,Chinese,San cai wen hua gu fen you xian gong si,Taipei,Taiwan,taipei_taiwan,Fiction (Novel),n,,
nyoon,"Hamah Chiz, Hamah Chiz",2019,Persian (Farsi),Nashr-i Nūn,Tihrān,Iran,tihraãñn_iran,Fiction (Novel),n,,
nyoon,Khurshid Hanuz Yik Sitarah Ast,2019,Persian (Farsi),Nashr-i Nūn,Tihrān,Iran,tihraãñn_iran,Fiction (Novel),n,,
nyoon,"Todo, Todo",2015,Spanish,Planeta Publishing,Madrid,Spain,madrid_spain,Fiction (Novel),n,,
nyoon,Du neben Mir Und Zwischen Uns Die Ganze Welt: Ungekürzte Lesung,2015,German,Oetinger Media,Hamburg,Germany,hamburg_germany,Fiction (Novel),n,,
nyoon,"Everything, Everything",2015,English,Audiolib,Paris,France,paris_fr_france,Fiction (Novel),n,,
nyoon,Ein Einziger Tag Für Die Liebe,2018,German,Oetinger Taschenbuch,Hamburg,Germany,hamburg_germany,Fiction (Novel),n,,
nyoon,O Sol Também eE Uma Estrela,2017,Portuguese,Editorial Presença,Barcarena,Portugal,barcarena_portugal,Fiction (Novel),n,,
nyoon,Dansen Voor Beginners,2021,Dutch,Em. Querido's Uitgeverij,Amsterdam,Netherlands,amsterdam_ams_netherlands,Fiction (Novel),n,,
nyoon,Alles Wat Je Lief Is,2015,Dutch,Uitgeverij Rainbow bv,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,,
nyoon,Mon Etoile Solaire,2019,French,Bayard Presse,Montrouge,France,montrouge_france,Fiction (Novel),n,,
