Author,author_id,author_country
Queen Macoomeh,qmacoomeh,trinidad_&_tobago
Phyllis Shand Allfrey,psallfrey,dominica
Michael Anthony,manthony,trinidad_&_tobago
Zee Edgell,zedgell,belize
Wilson Harris,wharris,guyana
Walter Roberts,wroberts,jamaica
V.S. Naipaul,vsnaipaul,trinidad_&_tobago
Velma Pollard,vpollard,jamaica
Youmna Charara,ycharara,italy
Aimé Césaire,acésaire,martinique
George Lamming,glamming,barbados
Michelle Cliff,mcliff,jamaica
Lisa Allen-Agostini,laagostini,trinidad_&_tobago
Jose Martí,jmartí,cuba
Jean Bernabé,jbernabe,martinique
Una Marson,umarson,jamaica
Louise Bennett,lbennet,jamaica
Jacques Roumain,jroumain,haiti
Oonya Kempadoo,okempadoo,guyana
Jean Casimir,jcasimir,haiti
Opal Palmer Adisa,opalmeradisa,jamaica
Olive Senior,osenior,jamaica
Paule Marshall,pmarshall,barbados
Lawrence Scott,lscott,trinidad_& tobago
Pamela Mordecai,pmordecai,jamaica
Marie Vieux-Chauvet,mvchauvet,haiti
Évelyne Trouillot,etrouillot,haiti
Jean Rhys,jrhys,dominica
Myriam J. A Chancy,mjachancy,haiti
Reinaldo Arenas,rarenas,Cuba
Alejo Carpenter,acarpenter,cuba
Jan J Dominique,jjdominique,haiti
Frankétienne,franketienne,haiti
Jamaica Kincaid,jkincaid,antigua_&_barbuda
Claude McKay,cmckay,jamaica
Karen Lord,klord,barbados
Robert Antoni,rantoni,trinidad_&_tobago
Simone Schwarz-Bart,ssbart,guadeloupe
Julia Alvarez,jalvarez,united_states
Andrew Salkey,asalkey,jamaica
Samuel Selvon,sselvon,trinidad_&_tobago
Kei Miller,kmiller,jamaica
Erna Brodber,ebodber,jamaica
Roberto Fernández Retamar,rretamar,cuba
Patrick Chamoiseau,pchamoiseau,martinique
Roger Mais,rmais,jamaica
Nicolás Guillén,ngullien,cuba
Frank A. Collymore,facollymore,barbados
Austin Clarke,aclarke,barbados
Michael Anthony Field,mafield,trinidad_&_tobago
Fabio Fiallo,ffiallo,dominican_republic
Manuel Fernández,mfernandez,portugal
Retamar Fernández,rfernandez,haiti
Margarite Fernández Olmos,mofernandez,united_states
Ira Lunan Ferguson,ilferguson,jamaica
Jose Rodriguez Feo,jrfeo,cuba
George Manville Fenn,gmfenn,england
Ida Faubert,ifaubert,haiti
May Farquharson,mfarquharson,jamaica
Michel Fabre,mfabre,netherlands
Donna Every,devery,barbados
Marie Evelyn,mevelyn,united_states
Marcel A Etienne,maetienne,paris
Mara Etienne-Manley,memanley,dominica
Neil Desmond Espinet,ndespinet,united_states
Olivier Enogo,oenogo,cameroon
Llewellyn Emery,lemery,spain
Grace A Epstein,gaepstein,united_states
Esi Edugyan,eedugyan,ghana
Maria Edgeworth,medgeworth,england
Mylene Pintado Fernandz,mpfernandez,cuba
Jade Duranty,jduranty,martinique
Suzanne Durant,sdurant,barbados
Kathleen Drayton,kdrayton,trinidad_&_tobago
Geoffrey Drayton,gdayton,barbados
Katia D. Ulysse,kdulysse,haiti
Sir Alexander Bannerman,sabannerman,england
Eulah Borde,eborde,trinidad_&_tobago
Marilyn Bobes León,mbleón,cuba
Frantz Wainwright,fwainwright,haiti
Caryl Phillips,cphillips,st._kitts_&_nevis
Ann Louise Bardach,albardach,united_states
Javier Marías,jmarías,spain
Ángel Augier,aaugier,cuba
Leonardo Padura Fuentes,lfuentes,cuba
D. Augustus Straker,sdaugustus,barbados
Véronique Maisier,vmaisier,canada
Patrick Sylvain,psylvain,haiti
Bonifacio Byrne,bbyrne,cuba
Jennifer Bent,jbent,jamaica
Ismith Khan,ikhan,trinidad_&_tobago
Andrea Stuart,astuart,jamaica
Shakirah Bourne,sbourne,barbados
Emilio Bobadilla,ebobadilla,cuba
Clément Magloire-Saint-Aude,cmagloiresaintaude,haiti
Mosi Mandisa,mmandisa,st._kitts_&_nevis
Lloyd King,lking,united_states
Humphrey Cotton Minchin,hcminchin,england
Derry Sandy,dsandy,trinidad_&_tobago
Stephanie Mckenzie,smckenzie,serbia
Gérard Bulin,gbulin,france
Trevor Chadee,tchadee,trinidad_&_tobago
Adisa Andwele,aandwele,barbados
Adriana Tous,atous,cuba
Alberto Barrera,abarrera,venezuela
Alecia McKenzie,amckenzie,jamaica
Alexia Arthurs,aarthurs,jamaica
Alfred Alexandre,aalexandre,martinique
Alfred Hubert Mendes,ahmendes,trinidad_&_tobago
Alvin Cummins,acummins,barbados
Anisah Sankar,asankar,trinidad_&_tobago
Anthony Kellman,akellman,barbados
Antonio Benítez-Rojo,abenitez-rogo,cuba
Asha Bromfield,abromfield,jamaica
Augustus C. Sinclair,acsinclair,jamaica
Aura Marina Boadas,amboadas,venezuela
Arlette Minatchy-Bogat,aminatchybogat,guadeloupe
Bernard Montabo,bmontabo,guyana
Callie Browning,cbrowning,barbados
Cecil Browne,cbrowne,st._vincent_&_the_grenadines
Cherie Jones,cjones,barbados
Claudia M Milian Arias,cmmarias,el_salvador
Constance Marshall,cmarshall,
Edouard Mokwe,emokwe,united_states
Eulah Borde,eborde,trinidad_&_tobago
Francesca Momplaisir,fmomplaisir,haiti
Gérard Bulin,gbulin,france
Isabel Abellán Chuecos,iachuecos,spain
J. Ashton Brathwaite,jabrathwaite,barbados
J.W. Boddam-Whetham,jwboddamwhetham,australia
Jean Bernabé,jbernabé,martinique
Jean Breeze,jbreeze,jamaica
John W. Boddam-Whetham,jwboddamwhetham,australia
Juan Francisco Manzano,jfmanzano,cuba
Louison Cazal,lcazal,martinique
Carlos Uxo,cuxo,cuba
Ciannon Smart,csmart,england
Cirilo Villaverde,cvillaverde,cuba
Claribel Terré Morell,ctmorell,cuba
Claude Thompson,cthompson,jamaica
Clement Maharaj,cmaharaj,trinidad_&_tobago
Cola Debrot,cdebrot,bonaire
Cynric R. Williams,crwilliams,jamaica
Cyril Dabydeen,cdabydeen,guyana
Harischandra Khemraj,hkhemraj,guyana
Harold Sonny Ladoo,hsladoo,trinidad_&_tobago
Hazel Simmons-McDonald,hsmcdonald,st._lucia
Helen Klonaris,hklonairs,bahamas
Henock Trouillot,htrouillot,haiti
Cyril V Briggs,cvbriggs,st._kitts_&_nevis
Daniel MacKinnen,dmackinnen,england
Hilary Beckles,hbeckles,barbados
Dany Laferrière,dlaferrière,haiti
