Cola Debrot,cdebrot,bonaire,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
cdebrot,Mijn zuster de negerin,1935,Dutch,Nijgh and Van Ditmar, Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,66,
cdebrot,Bekentenis in Toledo,1945,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Poem,n,18,
cdebrot,Navrante zomer,1945,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Poem,n,28,
cdebrot,Ars en Vita,1945,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,85,
cdebrot,Bid voor Camille Willocq ,1946,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,61,
cdebrot,"Het existentialisme, Drie voordrachten met discussie",1947,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,99,
cdebrot,De afwezigen,1952,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Poem,n,30,
cdebrot,Antilliaanse cahiers,1955,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,79,
cdebrot,Dagboekbladen uit Genève,1963,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,132,
cdebrot,Tussen de grijze lijnen en andere gedichten,1970,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Poem,n,67,
cdebrot,De vervolgden,1982,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,84,
cdebrot,Heimwee (in eigen beheer),1985,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Poem,n,4,
cdebrot,Verzameld werk 2. Gedichten,1985,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Poetry Collection,n,163,
cdebrot,Verzameld werk 1. Over Antilliaanse cultuur ,1985,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,245,
cdebrot,Verzameld werk 3. Verhalen,1986,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,250,
cdebrot,Verzameld werk 4. Bewolkt bestaan,1986,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,244,
cdebrot,Verzameld werk 6. Dagboekbladen uit Genève. Over dans en beeldende kunst,1988,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,250,
cdebrot,Wie was Céline? Van cuirassier tot clochard,1989,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,95,
cdebrot,Over Literatuur,1987,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Essay,n,397,
cdebrot,Bewolkt Bestaan,1986,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,376,
cdebrot,Gedichten,1985,Dutch,Meulenhoff,Amsterdam,Netherlands,amsterdam_netherlands,Poetry Collection,n,163,
